,Report Received Date,NHTSA ID,Recall Link,Manufacturer,Subject,Component,Mfr Campaign Number,Recall Type,Potentially Affected,Recall Description,Consequence Summary,Corrective Action,Park Outside Advisory,Do Not Drive Advisory,Stock Abbreviation,fuzzy_company,ticker,open,close,market_cap,eps,full_name
0,2025-10-01,25V656000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V656000),Toyota Motor Engineering & Manufacturing,Driveshaft May Deform and Break,POWER TRAIN,25TB11 / 25TA11,Vehicle,5960,Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2025 Tacoma and Tacoma Hybrid vehicles. The front driveshaft constant-velocity (CV) joint may deform and break.,A broken driveshaft can impair steering. Vehicles with full-time 4WD may experience a vehicle rollaway while parked without the parking brake applied. Both scenarios increase the risk of a crash.,"Dealers will inspect and replace both front driveshaft assemblies as necessary, free of charge. Owner notification letters are expected to be mailed November 16, 2025. Owners may contact Toyota's customer service at 1-800-331-4331. Toyota's numbers for this recall are 25TB11 and 25TA11.",No,No,NYSE:TM,TOYOTA MOTOR CORP/,TOYOF,17.84000015258789,19.3799991607666,269150797824,2.14,Toyota Motor Corporation
1,2025-10-01,25V655000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V655000),"Nissan North America, Inc.",Fire Risk from Quick Charging Battery,ELECTRICAL SYSTEM,R25C8,Vehicle,19077,"Nissan North America, Inc. (Nissan) is recalling certain 2021-2022 LEAF vehicles equipped with a Level 3 quick charging port. The lithium-ion battery may overheat during Level 3 charging.",A quick charging battery that overheats increases the risk of a fire.,"Owners are advised not to use Level 3 quick charging until the remedy is completed. Dealers will update the battery software, free of charge. Interim letters notifying owners of the safety risk are expected to be mailed October 24, 2025. A second notice will be sent once the remedy becomes available. Owners may contact Nissan's Customer Service at 1-800-867-7669. Nissan's number for this recall is R25C8. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning October 4, 2025.",No,No,NYSE:NSANY,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
2,2025-09-30,25V654000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V654000),"Volvo Car USA, LLC",Power Operated Tailgate May Drop Suddenly,STRUCTURE,R10342,Vehicle,1119,"Volvo Car USA, LLC (Volvo) is recalling certain 2025 EX90 vehicles. A spindle nut may detach from the Power Operated Tailgate (POT) drive units, causing the tailgate to suddenly drop.","A tailgate that suddenly drops can hit a person, increasing the risk of injury.","Owners are advised not to use the POT function until the repair is completed. Dealers will replace both POT drive units. Owner notification letters are expected to be mailed November 18, 2025. Owners may contact Volvo's customer service at 1-800-458-1552. Volvo's number for this recall is R10342. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning October 7, 2025.",No,No,NYSE:,"Mister Car Wash, Inc.",MCW,5.300000190734863,5.329999923706055,1646194432,0.26,"Mister Car Wash, Inc."
3,2025-09-30,25V653000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V653000),Thor Motor Coach,LP Tank May Detach and Become a Road Hazard,EQUIPMENT,RC000331,Vehicle,23,"Thor Motor Coach (TMC) is recalling certain 2024-2025 Luminate and Indigo recreational vehicles. The LP tank support tube may be too short and have an insufficient weld that may fracture, allowing the tank to detach.","A detached tank can create a road hazard for other vehicles, increasing the risk of a crash.","The remedy is currently under development. Owner notification letters are expected to be mailed November 24, 2025. Owners may contact TMC customer service at 1-877-855-2867. TMC's number for this recall is RC000331.",No,No,NYSE:,THOR INDUSTRIES INC,THO,104.5448595310376,103.19139862060547,5831233024,4.84,"THOR Industries, Inc."
4,2025-09-26,25E062000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25E062000),"MEDIX SPECIALTY VEHICLES, INC.",Quick Liner Wheel Covers May Detach and Become a Road Hazard,WHEELS,,Equipment,396,"Medix Specialty Vehicles, Inc. (Medix) is recalling certain Phoenix Quick Liner Wheel Covers installed, with the clip-on feature, on Medix Ford Type-III ambulances. The wheel covers may detach during transit.","A detached cover can create a road hazard for other vehicles, increasing the risk of a crash.","Medix will replace the covers, free of charge. Owner notification letters are expected to be mailed October 13, 2025. Owners may contact Medix Specialty Vehicle customer service at 1-574-266-0911.",No,No,NYSE:,"Envirotech Vehicles, Inc.",EVTV,2.0199999809265137,1.8899999856948853,5754790,-10.19,"Envirotech Vehicles, Inc."
7,2025-09-25,25V649000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V649000),"Kia America, Inc.",Fire from HVAC Wiring Harness,ELECTRICAL SYSTEM,SC351,Vehicle,39536,"Kia America, Inc. (Kia) is recalling certain 2021-2023 Sorento vehicles. The heating, ventilation, and air conditioning (HVAC) blower motor wiring harness may be inadequate, which can result in a fire.",A fire increases the risk of injury.,"Dealers will replace the wiring harness and blower motor resistor, free of charge. Interim notification letters, notifying owners of the safety risk, are expected to be mailed November 24, 2025. Additional letters will be sent once the final remedy is available, anticipated December. Owners may contact Kia customer service at 800-333-4542. Kia's number for this recall is SC351. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning October 9, 2025.",No,No,NYSE:KRX,BANK OF AMERICA CORP /DE/,BACRP,213.28977966308594,213.28977966308594,,,Bank of America Corporation PFD SER B 7%
9,2025-09-25,25V647000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V647000),"International Motors, LLC",Parking Brake May Unintentionally Activate,PARKING BRAKE,25518,Vehicle,14,"International Motors, LLC (International) is recalling certain 2025-2026 IC Bus CECB commercial buses. A tire may contact and damage the air dryer discharge line, causing an air leak and the unintentional activation of the parking brake.",Unintended activation of the parking brake while driving increases the risk of a crash.,"Dealers will inspect, replace, and reroute the lines as necessary, free of charge. Owner notification letters are expected to be mailed November 24, 2025. Owners may contact International customer service at 1-800-448-7825. International's number for this recall is 25518.",No,No,NYSE:,General Motors Co,GM,59.529998779296875,60.59000015258789,64983121920,5.24,General Motors Company
10,2025-09-25,25V646000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V646000),"International Motors, LLC",Parking Brake May Unintentionally Activate,PARKING BRAKE,25517,Vehicle,11952,"International Motors, LLC (International) is recalling certain 2024-2026 IC Bus CESB school buses. A tire may contact and damage the air dryer discharge line, causing an air leak and the unintentional activation of the parking brake.",Unintended activation of the parking brake while driving increases the risk of a crash.,"Dealers will inspect, replace, and reroute the lines as necessary, free of charge. Owner notification letters are expected to be mailed November 24, 2025. Owners may contact International customer service at 1-800-448-7825. International's number for this recall is 25517.",No,No,NYSE:,General Motors Co,GM,59.529998779296875,60.59000015258789,64983121920,5.24,General Motors Company
11,2025-09-25,25V645000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V645000),"Jaguar Land Rover North America, LLC",Rearview Camera Image May Not Display,BACK OVER PREVENTION,D053,Vehicle,3818,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain 2023 Range Rover Evoque vehicles. Water may enter the rearview camera, which can cause the rearview camera image not to appear on the display or display a distorted image.","A rearview camera image that does not display can decrease the driver's visibility, increasing the risk of injury or crash.","Dealers will replace the rearview camera, free of charge. Interim letters notifying owners of the safety risk are expected to be mailed November 21, 2025. Additional letters will be sent once the remedy is available. Owners may contact Land Rover's customer service at 800-637-6837. Land Rover's number for this recall is D053.",No,No,NYSE:,"Jaguar Health, Inc.",JAGX,2.140000104904175,2.049999952316284,7784953,37.53,"Jaguar Health, Inc."
12,2025-09-25,25V644000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V644000),"BMW of North America, LLC",Starter Motor May Fail and Overheat,ELECTRICAL SYSTEM,,Vehicle,145102,"BMW of North America, LLC (BMW) is recalling certain 2020 340I, X6, 2020-2025 840I, 2020-2022 740LI, 2019-2020 X7, and X5 vehicles. After repeated attempts, the starter motor may overheat from an electrical overload.","An overheated starter motor can ignite nearby combustible material in the engine compartment, increasing the risk of a fire.","Dealers will replace the engine starter, free of charge.  This recall includes vehicles repaired under recall 24V576 and those owners will need to have their vehicle repaired again. Owner notification letters are expected to be mailed November 17, 2025. Owners may contact BMW customer service at 1-800-525-7417. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning November 17, 2025.",No,No,NYSE:,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
13,2025-09-25,25V643000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V643000),"BMW of North America, LLC",Improperly Connected Battery Cables,ELECTRICAL SYSTEM,,Vehicle,4,"BMW of North America, LLC (BMW) is recalling certain 2026 M4 and 430i vehicles. The positive battery cables may not be properly connected to the power distribution box, resulting in an engine stall and a fire.",An engine stall increases the risk of a crash and a fire increases the risk of injury.,"Dealers will inspect and replace cables and power distribution box as necessary, free of charge. Owner notification letters are expected to be mailed November 17, 2025. Owners may contact BMW customer service at 1-800-525-7417. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning November 17, 2025.",No,No,NYSE:,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
16,2025-09-25,25V641000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V641000),"International Motors, LLC",Windshield Wipers May Fail,VISIBILITY,25516,Vehicle,3,"International Motors, LLC (International) is recalling certain 2026 IC Bus CECB commercial buses. The weld on the crank shaft assembly may fail, preventing the  the left-side wiper from working.","An inoperative wiper can reduce the driver's ability to see out of the windshield, increasing the risk of a crash.","Dealers will inspect and replace the windshield wiper module, free of charge. Owner notification letters are expected to be mailed November 24, 2025. Owners may contact International customer service at 1-800-448-7825. International's number for this recall is 25516. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 17, 2025.",No,No,NYSE:,General Motors Co,GM,59.529998779296875,60.59000015258789,64983121920,5.24,General Motors Company
17,2025-09-25,25V640000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V640000),"International Motors, LLC",Windshield Wipers May Fail,VISIBILITY,25515,Vehicle,4778,"International Motors, LLC (International) is recalling certain 2026 IC Bus CESB school buses. The weld on the crank shaft assembly may fail, preventing the  the left-side wiper from working.","An inoperative wiper can reduce the driver's ability to see out of the windshield, increasing the risk of a crash.","Dealers will inspect and replace the windshield wiper module, free of charge. Owner notification letters are expected to be mailed November 24, 2025. Owners may contact International customer service at 1-800-448-7825. International's number for this recall is 25515. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 17, 2025.",No,No,NYSE:,General Motors Co,GM,59.529998779296875,60.59000015258789,64983121920,5.24,General Motors Company
18,2025-09-25,25V639000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V639000),"General Motors, LLC",Insufficient Pedestrian Warning Sound/FMVSS 141,FORWARD COLLISION AVOIDANCE,N252527170,Vehicle,23700,"General Motors LLC (GM) is recalling certain 2024 Chevrolet Equinox EV vehicles. The pedestrian alert sound system may not produce a sufficient change in volume between the vehicle being stopped and moving at low speeds.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 141, ""Minimum Sound Requirements for Hybrid and Electric Vehicles.""","A vehicle that fails to make sufficient sound may result in pedestrians being unaware of an approaching vehicle, increasing the risk of injury.","The remedy is currently under development. Owner notification letters are expected to be mailed November 10, 2025.  Owners may contact Chevrolet customer service at 1-800-222-1020.  GM's number for this recall is N252527170.",No,No,NYSE:GM,General Motors Co,GM,59.529998779296875,60.59000015258789,64983121920,5.24,General Motors Company
19,2025-09-24,25V638000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V638000),"Volkswagen Group of America, Inc.",Damaged Seat Belt Retractor,SEAT BELTS,694T 69UM,Vehicle,1042,"Volkswagen Group of America, Inc. (Volkswagen) is recalling certain 2025 GTI, Golf R, Audi A5, A6 Sportback E-Tron, S5, S6 Sportback E-Tron, 2026 Q4 Sportback E-Tron, and Q4 E-Tron vehicles. The torsion bar in one or both front seat belt retractors may have been damaged during production.","In a crash, a damaged torsion bar in a retractor could fail. If this happens, the seat belt may not properly restrain an occupant during a crash, increasing the risk of injury.","Dealers will replace one or both front seat belts, free of charge. Owner notification letters are expected to be mailed November 21, 2025. Owners may contact Audi at 1-800-253-2834 or Volkswagen at 1-800-893-5298. Audi's number for this recall is 69UM; Volkswagen’s number for this recall is 694T. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning September 26, 2025.",No,No,NYSE:,REINSURANCE GROUP OF AMERICA INC,RZC,25.69983480490367,25.660524368286133,,,7.125% Fixed-Rate Reset Subordinated Debentures due 2052
20,2025-09-24,25V637000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V637000),"Volkswagen Group of America, Inc.",High Pressure Fuel Pump May Leak and Cause a Fire,"FUEL SYSTEM, GASOLINE",23HD,Vehicle,1,"Volkswagen Group of America, Inc. (Volkswagen) is recalling one Audi SQ7 vehicles. The fasteners securing the high pressure fuel pump may not be tightened properly, resulting in a fuel leak.",A fuel leak in the presence of an ignition source increases the risk of a fire.,"Dealers will inspect and tighten the screw connections and replace the high pressure fuel pump and fuel lines as necessary, free of charge. The one affected vehicle was repaired. Owners may contact Volkswagen customer service at 800-893-5298. Volkswagen's number for this recall is 23HD. Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning September 26, 2025.",No,No,NYSE:,REINSURANCE GROUP OF AMERICA INC,RZC,25.69983480490367,25.660524368286133,,,7.125% Fixed-Rate Reset Subordinated Debentures due 2052
22,2025-09-23,25V636000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V636000),"BMW of North America, LLC",Engine Starter May Corrode and Overheat,ELECTRICAL SYSTEM,,Vehicle,196355,"BMW of North America, LLC (BMW) is recalling certain 2019-2021 BMW 330i, 2019-2022 BMW Z4, 2020-2022 BMW 530i, X3, X4, Toyota Supra, 2021-2022 BMW 430i, 430i Convertible, and 2022 BMW 230i vehicles. The engine starter relay may corrode, causing the relay to overheat and short circuit.",A short circuit in the starter relay may increase the risk of a fire.,"Owners are advised to park their vehicles outside and away from structures until the remedy is complete. Dealers will replace the engine starter, free of charge. Interim notification letters informing owners of the safety risk are scheduled to be mailed November 14, 2025. Owners will receive a second notice as remedy parts become available. Owners may contact BMW customer service at 1-800-525-7417.  Vehicle Identification Numbers (VINs) involved in this recall will be searchable on NHTSA.gov beginning November 14, 2025.",Yes,No,NYSE:,Central North Airport Group,GAERF,13.9399995803833,13.9399995803833,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
23,2025-09-23,25V635000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V635000),Blue Bird Body Company,Parking Brake May Unintentionally Engage,PARKING BRAKE,R25DS,Vehicle,150,Blue Bird Bus Company (Blue Bird) is recalling certain 2021-2026 Vision school buses. The brake interlock software may unintentionally activate the parking brake at any driving speed.,"A bus that stops suddenly without warning, increases the risk of a crash.","Dealers will update the brake interlock software, free of charge. Owner notification letters are expected to be mailed November 21, 2025.  Owners may contact Blue Bird customer service at 1-478-822-2242.  Blue Bird's number for this recall is R25DS.",No,No,NYSE:BLBD,Blue Bird Corp,BLBD,60.959999084472656,59.7400016784668,1787693952,3.49,Blue Bird Corporation
