Manufacturer Name,Abbreviation
"Sumitomo Rubber Industries, Ltd.",SMTUF
The Heil Co.,TEX
"International Motors, LLC",
"Mack Trucks, Inc.",VLVLY
Volvo Trucks North America,VLVLY
Ford Motor Company,F
"Jaguar Land Rover North America, LLC",TTM
"Mercedes-Benz USA, LLC",MBG
"Altec Industries, Inc.",
"Suzuki Motor USA, LLC",SZKMY
"Nissan North America, Inc.",NSANY
"Grand Design RV, LLC",WGO
FONTAINE MODIFICATION CO.,BRK.A
Holley Performance Products,HILLY
"Winnebago Industries, Inc.",WGO
Vanguard National Trailer Corporation,
"Bendix Commercial Vehicle Systems, LLC",KBX
Storyteller Overland,
Brinkley RV,
Premier Trailer Solutions LLC,
"Kia America, Inc.",KRX
"Porsche Cars North America, Inc.",POAHF
Grech Motors Inc.,
"Tesla, Inc.",TSLA
DEXTER AXLE,
"Forest River, Inc.",BRK.A
"General Motors, LLC",GM
Hyundai Motor America,KRW
"Tiffin Motorhomes, Inc.",
"Chrysler (FCA US, LLC)",STLA
"BMW of North America, LLC",BMW.DE
"Ferrari North America, Inc.",RACE
Lamborghini (Automobili Lamborghini),VWAGY
Nova Bus (US) Inc.,VLVLY
Rosenbauer America,ROS
Terran Industries LLC,LLAPW
PEABODY GALION CORP.,BTU
Volvo Bus Corporation,VLVLY
"Continental Tire the Americas, LLC",CTTAY
Winnebago Towable,WGO
"American Manufacturing Operations, INC.",
Wilson Trailer Company,
"Malibu Boats, LLC",MBUU
"Peragon Enterprises, Inc.",
"Daimler Vans USA, LLC",MBGYY
Centropneus SRL,
"Mitsubishi Fuso Truck of America, Inc.",DTG
Prevost Car (US) Inc.,VLVLY
Zero Motorcycles Inc.,
"SAAB CARS USA, INC.",
Motor Coach Industries,NFI
Motiv Power Systems,WKHS
"Polestar Automotive USA, Inc.",PSNY
Shyft Group,SHYF
"Bombardier Recreational Products, Inc.",DOOO
"Autocar, LLC",
"Airstream, Inc.",THO
Cooper Tire & Rubber Co.,GT
PT. Elangperdana Tyre Industry,
Terminal Investment Corporation,
Orange EV,
"Daimler Trucks North America, LLC",DTG
Oshkosh Corporation,OSK
PACCAR Incorporated,PCAR
Honda (American Honda Motor Co.),HMC
Temsa,
"Volkswagen Group of America, Inc.",VWAGY
"ALFA ROMEO, INCORPORATED",STLA
Newmar Corporation,WGO
Great Dane Trailers,
"NABI Bus, LLC",
Supreme Corporation,WNC
"Subaru of America, Inc.",FUJHY
Mazda North American Operations,MZDAY
Bowlus Road Chief LLC,
Keystone RV Company,THO
REV Recreation Group,REVG
Bontrager Outdoors,
Reading Truck Group LLC,
"Evenflo Company, Inc.",
"Foretravel, Inc.",
"Volvo Car USA, LLC",VLVLY
"Rivian Automotive, LLC",RIVN
Braun Corporation,BF-B
GEM WAEV LLC,GEM.V
Starcraft RV,
"Kawasaki Motors Corp., U.S.A.",KWHIY
Harley-Davidson Motor Company,HOG
Triple E Recreational Vehicles,
"Mitsubishi Motors North America, Inc.",MMTOF
DANA CORPORATION,DAN
"Forest River Bus, LLC",
"Jayco, Inc.",THO
Micro DOT Helmet Co.,
"Battle Motors, Inc.",
"Zoox, Inc.",ZOOX
Hyundai Translead,HYMLF
Custom Truck And Body Works,
"Sailun Tire Americas, Inc.",
"Braun Industries, Inc.",
BorgWarner,BWA
Isuzu Motors Limited,ISUZY
FREIGHTLINER LLC,MBGAF
Toyota Motor Engineering & Manufacturing,TM
"Michelin North America, Inc.",ML
"Alliance RV, LLC",ARLP
Aluminum Trailer Company (ATC),
Waymo LLC,GOOG
"Heartland Recreational Vehicles, LLC",HTLD
DRV Suites,DRV
CARDINAL MFG. CO.,
Aston Martin The Americas,AML:LSE
Thor Motor Coach,THO
"K.Z., Inc.",KZ
Blue Bird Body Company,BLBD
Dainese S.p.A.,
Redundant JAGUAR ROVER TRIUMPH INC.,TTM
"Key Safety Systems, Inc. - (DBA Joyson)",600699.SS
Highland Ridge RV,
YOUNG TRAILER & MFG. CO.,YTM
Dorel Juvenile Group,DIIBF
Pure Sports Distributing Inc.,
Carrier Corporation,CARR
Goodyear Tire & Rubber Company,GT
"Maserati North America, Inc.",STLA
"PALM INDUSTRIES, INC.",
"MORryde International, Inc.",MURYF
East Trailers LLC,
McLaren Automotive Incorporated,3ML.F
Hiab USA Inc.,CYJBF
ILJIN Hysolus,
WHITE RIVER MARINE GROUP LLC,
"Corp. Micro Bird, Inc.",BLBD
FRANK INDUSTRIES,
"Gillig, LLC",
